,word,target
0,jigaboo,Negative
1,mound of venus,Negative
2,asslover,Negative
3,s&m,Negative
4,queaf,Negative
5,whitetrash,Negative
6,meatrack,Negative
7,ra8s,Negative
8,pimp,Negative
9,urine,Negative
10,whit,Negative
11,randy,Negative
12,herpes,Negative
13,niglet,Negative
14,narcotic,Negative
15,pudboy,Negative
16,rimming,Negative
17,boner,Negative
18,pornography,Negative
19,poop chute,Negative
20,israel,Negative
21,dong,Negative
22,slanteye,Negative
23,muffdiving,Negative
24,jiggabo,Negative
25,assassination,Negative
26,peepshpw,Negative
27,popimp,Negative
28,girl on,Negative
29,testicles,Negative
30,laid,Negative
31,molestor,Negative
32,peni5,Negative
33,tranny,Negative
34,barface,Negative
35,hell,Negative
36,arsehole,Negative
37,pissed,Negative
38,sixsixsix,Negative
39,execute,Negative
40,shitty ,Negative
41,conspiracy,Negative
42,hamas,Negative
43,cunilingus,Negative
44,bitcher,Negative
45,muslim,Negative
46,pee,Negative
47,niggled,Negative
48,muffindiver,Negative
49,cocksman,Negative
50,scag,Negative
51,aroused,Negative
52,niggling,Negative
53,fingerfucker ,Negative
54,nlggor,Negative
55,niggaz,Negative
56,assfuck,Negative
57,slant,Negative
58,urinate,Negative
59,mothafucked ,Negative
60,fungus,Negative
61,retard,Negative
62,gummer,Negative
63,venus mound,Negative
64,alla,Negative
65,spaghettinigger,Negative
66,piss,Negative
67,mickeyfinn,Negative
68,fuckers,Negative
69,jizzim,Negative
70,tramp,Negative
71,quashie,Negative
72,prince albert piercing,Negative
73,hardon,Negative
74,menage a trois,Negative
75,bukkake,Negative
76,shag,Negative
77,australian,Negative
78,raped,Negative
79,buggery,Negative
80,deth,Negative
81,weenie,Negative
82,lickme,Negative
83,reverse cowgirl,Negative
84,tonguetramp,Negative
85,cum,Negative
86,copulate,Negative
87,gun,Negative
88,schlong,Negative
89,cunn,Negative
90,damnit,Negative
91,crackpipe,Negative
92,buttmuncher,Negative
93,cameltoe,Negative
94,camgirl,Negative
95,hotpussy,Negative
96,cuntfucker,Negative
97,slave,Negative
98,sluts,Negative
99,ball licking,Negative
100,hentai,Negative
101,jackshit,Negative
102,dickman,Negative
103,doo-doo,Negative
104,gook,Negative
105,crimes,Negative
106,ho,Negative
107,bomd,Negative
108,shitdick,Negative
109,slapper,Negative
110,urinary,Negative
111,tantra,Negative
112,nookie,Negative
